Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
33,2015-12-15,1.0,Dallas Stars,1,5,L,35,23,1,2.0,0,34,21,0.0,3.0,0.0,52,56,48.1,39,50,43.8,26,32,44.8,48.5,84.8
34,2015-12-17,1.0,Arizona Coyotes,7,5,W,21,11,0,1.0,0,32,7,1.0,3.0,0.0,34,54,38.6,28,35,44.4,25,26,49.0,33.3,117.6
35,2015-12-19,,Philadelphia Flyers,3,2,W,37,13,1,6.0,0,32,31,0.0,2.0,0.0,41,56,42.3,35,36,49.3,22,17,56.4,41.4,92.6
36,2015-12-21,1.0,Pittsburgh Penguins,2,5,L,24,20,0,3.0,0,35,16,2.0,4.0,0.0,32,54,37.2,25,43,36.8,17,32,34.7,51.6,99.1
37,2015-12-26,1.0,Tampa Bay Lightning,2,5,L,32,32,0,3.0,0,25,13,3.0,8.0,0.0,43,40,51.8,35,26,57.4,28,20,58.3,56.5,96.6
38,2015-12-27,1.0,Florida Panthers,2,3,L,17,17,1,4.0,0,32,13,0.0,6.0,0.0,27,34,44.3,20,25,44.4,15,20,42.9,50.0,91.7
39,2015-12-29,,Dallas Stars,6,3,W,33,8,0,2.0,0,43,6,0.0,3.0,0.0,59,57,50.9,44,45,49.4,32,30,51.6,43.7,110.2
40,2016-01-02,,Washington Capitals,5,4,W,29,12,2,3.0,0,33,6,2.0,6.0,0.0,52,45,53.6,40,30,57.1,27,23,54.0,51.6,95.6
41,2016-01-05,,Minnesota Wild,2,4,L,31,6,0,1.0,0,33,4,0.0,2.0,0.0,66,55,54.5,43,41,51.2,25,25,50.0,45.1,93.3
42,2016-01-08,1.0,Carolina Hurricanes,1,4,L,36,13,1,5.0,0,29,15,1.0,4.0,0.0,46,43,51.7,34,29,54.0,24,36,40.0,50.0,84.2
43,2016-01-09,,Carolina Hurricanes,3,4,L,24,13,0,2.0,1,30,9,1.0,4.0,0.0,48,43,52.7,29,28,50.9,29,29,50.0,46.4,95.5
44,2016-01-12,1.0,New York Islanders,2,5,L,20,16,0,6.0,0,33,16,1.0,8.0,0.0,33,43,43.4,20,30,40.0,14,21,40.0,32.5,99.4
45,2016-01-13,1.0,Toronto Maple Leafs,3,1,W,22,6,1,2.0,0,42,4,0.0,3.0,0.0,46,82,35.9,38,63,37.6,21,31,40.4,20.5,107.5
46,2016-01-16,,Colorado Avalanche,2,1,W,21,4,0,3.0,0,30,6,0.0,3.0,0.0,41,43,48.8,32,33,49.2,25,21,54.3,43.2,107.1
47,2016-01-19,,Washington Capitals,3,6,L,35,11,1,3.0,0,28,13,2.0,2.0,0.0,55,44,55.6,36,28,56.3,30,25,54.5,41.7,89.8
48,2016-01-21,,Calgary Flames,2,4,L,29,2,0,1.0,0,27,4,0.0,0.0,0.0,58,53,52.3,42,39,51.9,22,21,51.2,65.1,92.0
49,2016-01-23,1.0,Boston Bruins,2,3,L,33,8,0,4.0,0,34,8,0.0,5.0,0.0,45,42,51.7,35,29,54.7,27,24,52.9,66.7,98.9
50,2016-01-25,,Montreal Canadiens,5,2,W,25,6,0,2.0,0,34,4,1.0,3.0,0.0,44,55,44.4,33,42,44.0,22,31,41.5,35.1,120.7
51,2016-01-26,1.0,Montreal Canadiens,5,2,W,26,12,2,3.0,0,30,6,1.0,6.0,0.0,42,53,44.2,28,29,49.1,25,29,46.3,64.5,108.3
52,2016-02-02,1.0,Edmonton Oilers,1,5,L,37,10,0,5.0,0,35,14,2.0,3.0,0.0,55,44,55.6,40,35,53.3,18,37,32.7,53.1,91.6
53,2016-02-04,1.0,Vancouver Canucks,2,1,W,28,6,1,3.0,0,38,4,1.0,3.0,0.0,50,54,48.1,36,40,47.4,24,25,49.0,46.4,100.0
54,2016-02-05,1.0,Calgary Flames,2,1,W,18,4,0,0.0,0,31,2,0.0,1.0,0.0,34,69,33.0,25,43,36.8,32,36,47.1,31.8,107.8
55,2016-02-09,,New York Islanders,2,3,L,31,4,0,1.0,0,46,2,1.0,2.0,0.0,57,75,43.2,36,52,40.9,37,43,46.3,37.5,104.9
56,2016-02-11,,Anaheim Ducks,4,3,W,34,9,1,4.0,0,27,13,0.0,2.0,0.0,55,40,57.9,36,30,54.5,15,21,41.7,80.0,93.9
57,2016-02-13,,Ottawa Senators,4,2,W,40,15,0,2.0,0,35,13,1.0,3.0,0.0,60,60,50.0,49,41,54.4,33,25,56.9,39.5,107.8
58,2016-02-16,,Boston Bruins,1,2,L,29,8,0,3.0,0,30,6,0.0,4.0,0.0,44,48,47.8,34,38,47.2,26,31,45.6,52.7,92.0
59,2016-02-19,,Buffalo Sabres,0,4,L,38,28,0,6.0,0,35,16,1.0,5.0,1.0,52,38,57.8,39,30,56.5,23,16,59.0,50.0,92.3
